Organization,Name,Role,Primary1,Primary2,Primary3,Secondary1,Secondary2,Gadget1,Gadget2
APCA,AMARU,ATTACKER,G8A1,SUPERNOVA,ITA12S,SMG-11,NaN,CLAYMORE,STUN GRENADE
APCA,GOYO,DEFENDER,VECTOR .45 ACP,TCSG12,P229,NaN,NaN,IMPACT GRENADE,NITRO CELL
JAEGER CORPS,NOKK,ATTACKER,FMG-9,SIX12 SD,5.7 USG,D-50,NaN,CLAYMORE,BREACH CHARGE
JAEGER CORPS,WARDEN,DEFENDER,M590A1,MPX,P-10C,SMG-12,NaN,DEPLOYABLE SHIELD,BARBED WIRE
SASR,MOZZIE,DEFENDER,COMMANDO 9,P10 RONI,SUPER SHORTY,SDP 9MM,NaN,BARBED WIRE,NITRO CELL
SASR,GRIDLOCK,ATTACKER,F90,M249 SAW,SUPER SHORTY,SDP 9MM,NaN,SMOKE GRENADE,BREACH CHARGE
GIGR,NOMAD,ATTACKER,AK-74M,ARX200,.44 MAG SEMI-AUTO,NaN,NaN,STUN GRENADE,BREACH CHARGE
GIGR,KAID,DEFENDER,AUG A3,TCSG12,.44 MAG SEMI-AUTO,NaN,NaN,NITRO CELL,IMPACT GRENADE
MPS,CLASH,DEFENDER,CCE SHIELD,P-10C,SPSMG9,NaN,NaN,BARBED WIRE,IMPACT GRENADE
MPS,MAVERICK,ATTACKER,AR-15.50,M4,1911 TACOPS,NaN,NaN,STUN GRENADE,CLAYMORE
G.I.S.,MAESTRO,DEFENDER,ALDA 5.56,ACS12,BAILIFF 410,KERATOS .357,NaN,BARBED WIRE,IMPACT GRENADE
G.I.S.,ALIBI,DEFENDER,MX4 STORM,ACS12,KERATOS .357,BAILIFF 410,NaN,IMPACT GRENADE,DEPLOYABLE SHIELD
GIGN,LION,ATTACKER,V308,417,SG-CQB,P9,LFP586,STUN GRENADE,CLAYMORE
GIGN,FINKA,ATTACKER,SPEAR .308,6P41,SASG-12,PMM,GSH-18,BREACH CHARGE,FRAG GRENADE
707TH SMB,VIGIL,DEFENDER,K1A,BOSG.12.2,C75 AUTO,SMG-12,NaN,BULLETPROOF CAMERA,IMPACT GRENADE
707TH SMB,DOKKAEBI,ATTACKER,MK 14 EBR,BOSG.12.2,NaN,C75 AUTO,SMG-12,SMOKE GRENADE,FRAG GRENADE
G.R.O.M.,ZOFIA,ATTACKER,LMG-E,M765,NaN,RG15,NaN,BREACH CHARGE,CLAYMORE
G.R.O.M.,ELA,DEFENDER,SCORPION EVO 3 A1,F0-12,NaN,RG16,NaN,BARBED WIRE,DEPLOYABLE SHIELD
S.D.U.,YING,ATTACKER,T-95 LSW,SIX12,NaN,Q-929,NaN,BREACH CHARGE,CLAYMORE
S.D.U.,LESION,DEFENDER,SIX12 SD,T-5 SMG,NaN,Q-929,NaN,IMPACT GRENADE,BULLETPROOF CAMERA
G.E.O.,MIRA,DEFENDER,VECTOR .45 ACP,ITA12L,NaN,USP40,ITA12S,BARBED WIRE,NITRO CELL
G.E.O.,JACKAL,ATTACKER,C7E,PDW9,ITA12L,USP40,ITA12S,BREACH CHARGE,SMOKE GRENADE
